Combined,Zillow Median,Rent Café Avg.,Zumper Median
Alamo Square,4341,3403,3600
Anza Vista,4165,3448,
Apparel City,3996,,
Aquatic Park / Ft. Mason,4654,,
Ashbury Heights,4683,3498,3600
Balboa Terrace,4666,,2985
Bayview,3814,3257,2550
Bernal Heights,4283,3074,3040
Bret Harte,3783,,
Buena Vista,4798,3498,3600
Candlestick Point SRA,3783,3257,
Castro,4683,,3540
Cathedral Hill,4675,,
Cayuga,3648,3942,
Central Waterfront,4241,4280,
Chinatown,4605,,
Civic Center,3323,2979,3380
Clarendon Heights,4873,4036,
Cole Valley,4683,3498,3000
Corona Heights,4683,4464,
Cow Hollow,5563,3385,3650
Crocker Amazon,3754,4082,
Diamond Heights,3756,3522,
Dogpatch,4241,4280,3700
Dolores Heights,4683,4464,
Downtown / Union Square,3692,3006,3270
Duboce Triangle,4441,4464,
Eureka Valley,4683,4464,
Excelsior,3884,3942,2010
Fairmount,4256,,
Financial District,4245,3536,3740
Fishermans Wharf,4650,,
Forest Hill,4666,,2985
Forest Knolls,4666,3515,
Glen Park,4256,3522,2650
Golden Gate Heights,4393,3679,
Haight Ashbury,4106,3498,2995
Hayes Valley,4401,3042,3500
Holly Park,4283,3074,3040
Hunters Point,3783,3257,
India Basin,3814,,
Ingleside,3794,3942,
Ingleside Terraces,4284,,
Inner Richmond,4284,3922,2600
Inner Sunset,4187,3679,2725
Japantown,4675,,
Laguna Honda,4666,3515,
Lake Street,4345,3922,3048
Lakeshore,4276,3444,2720
Laurel Heights / Jordan Park,4750,3922,3100
Little Hollywood,3929,4303,
Lone Mountain,4499,3758,
Lower Haight,4341,3074,3200
Lower Nob Hill,4675,,
Lower Pacific Heights,4675,,3545
Marina,4654,2959,3650
Merced Heights,3463,3444,2550
Merced Manor,3851,3444,2250
Midtown Terrace,4749,3522,
Mint Hill,4076,4011,3800
Miraloma Park,4610,,2985
Mission,4425,3746,3500
Mission Bay,4241,4599,3700
Mission Dolores,3746,3771,3495
Mission Terrace,3648,3942,
Monterey Heights,4666,,2985
Mt. Davidson Manor,4666,3942,2985
Nob Hill,4645,3034,3500
Noe Valley,4645,3349,3400
North Beach,4650,3321,2900
Northern Waterfront,4526,3640,3430
Oceanview,4133,3942,
Outer Mission,3721,3942,2010
Outer Richmond,4129,,2595
Outer Sunset,4030,3679,2550
Pacific Heights,5055,3087,3695
Panhandle,4432,3403,3500
Parkmerced,4536,,
Parkside,3851,3444,2250
Parnassus Heights,4666,3498,
Peralta Heights,4283,3074,3040
Polk Gulch,4645,,
Portola,3749,4303,
Potrero Hill,4660,4011,3710
Presidio Heights,5839,3922,3100
Presidio National Park,3784,4976,
Presidio Terrace,5839,,
Produce Market,3996,,
Rincon Hill,4556,,
Russian Hill,5168,2993,3480
Seacliff,4911,,
Sherwood Forest,4666,,2985
Showplace Square,4076,,
Silver Terrace,3996,3257,
South Beach,4556,4388,3900
South of Market,4076,4011,3800
St. Francis Wood,4666,,2985
St. Marys Park,4283,3074,3040
Stonestown,,3444,
Sunnydale,,,
Sunnyside,3918,3672,
Sutro Heights,,,
Telegraph Hill,4526,3321,3430
Tenderloin,3323,2979,2400
Treasure Island,,2616,
Union Street,5563,3385,3650
University Mound,,,
Upper Market / Twin Peaks,4539,3862,2985
Visitacion Valley,3961,4303,
West Portal,4666,,2985
Western Addition,4442,3055,3300
Westwood Highlands,4159,3942,2985
Westwood Park,4159,3942,2985
Yerba Buena Island,,4183,
