,Neighborhood,Latitude,Longitude,Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Marble Hill,40.8758,-73.9105,4,Pharmacy,Train Station,Mattress Store,Storage Facility,Supermarket,Sandwich Place,Gym / Fitness Center,Bakery,Coffee Shop,Bank
1,Inwood,40.8688,-73.922,4,Café,Frozen Yogurt Shop,Wine Bar,Bank,American Restaurant,Park,Deli / Bodega,Diner,Ice Cream Shop,Sandwich Place
2,Washington Heights,40.8492,-73.9359,4,Mobile Phone Shop,Bakery,Lounge,Supplement Shop,Latin American Restaurant,Tapas Restaurant,Coffee Shop,Caribbean Restaurant,Frozen Yogurt Shop,Spanish Restaurant
3,Hamilton Heights,40.8259,-73.9492,4,Chinese Restaurant,Pizza Place,Yoga Studio,Sushi Restaurant,Donut Shop,Juice Bar,Coffee Shop,Deli / Bodega,Caribbean Restaurant,Pub
4,Manhattanville,40.8166,-73.9552,3,Japanese Curry Restaurant,Climbing Gym,Boutique,Food & Drink Shop,French Restaurant,Fountain,Food Truck,Food Court,Flower Shop,Filipino Restaurant
5,Morningside Heights,40.809,-73.9613,4,Deli / Bodega,Coffee Shop,Food Truck,Café,Burger Joint,Shipping Store,Ethiopian Restaurant,Sandwich Place,New American Restaurant,College Cafeteria
6,Harlem,40.8137,-73.9439,8,African Restaurant,Jazz Club,French Restaurant,Cosmetics Shop,Bagel Shop,Chinese Restaurant,Seafood Restaurant,Bookstore,Music Venue,Gym / Fitness Center
7,East Harlem,40.7957,-73.9389,4,Mexican Restaurant,Pizza Place,Bakery,Spanish Restaurant,Grocery Store,Sandwich Place,Rental Car Location,Cocktail Bar,Taco Place,Restaurant
8,Upper West Side,40.787,-73.9754,2,Italian Restaurant,Cosmetics Shop,Coffee Shop,Vegetarian / Vegan Restaurant,Bar,Mediterranean Restaurant,Thai Restaurant,Pub,Yoga Studio,American Restaurant
9,Carnegie Hill,40.7838,-73.9558,2,Italian Restaurant,French Restaurant,Spa,Yoga Studio,Kosher Restaurant,Breakfast Spot,Sculpture Garden,Museum,Bookstore,Exhibit
10,Upper East Side,40.7725,-73.9566,2,Italian Restaurant,Sushi Restaurant,Gym / Fitness Center,Bakery,Bagel Shop,Gourmet Shop,Spanish Restaurant,Bar,American Restaurant,Coffee Shop
11,Roosevelt Island,40.7616,-73.9503,5,Deli / Bodega,Liquor Store,Indie Theater,Outdoors & Recreation,Bus Line,Greek Restaurant,Sandwich Place,Gym / Fitness Center,Falafel Restaurant,Event Space
12,Columbus Circle,40.7673,-73.99,4,Theater,Gym / Fitness Center,Coffee Shop,Wine Shop,Wine Bar,Food Truck,Lounge,Gastropub,Market,Mediterranean Restaurant
