Neighborhood,Latitude,Longitude
Marble Hill,40.8758,-73.9105
Inwood,40.8688,-73.9220
Washington Heights,40.8492,-73.9359
Hamilton Heights,40.8259,-73.9492
Manhattanville,40.8166,-73.9552
Morningside Heights,40.8090,-73.9613
Harlem,40.8137,-73.9439
East Harlem,40.7957,-73.9389
Upper West Side,40.787,-73.9754
Carnegie Hill,40.7838,-73.9558
Upper East Side,40.7725,-73.9566
Roosevelt Island,40.7616,-73.9503
Columbus Circle,40.7673,-73.9900
Midtown,40.7600,-73.9789
Clinton,40.7598,-73.9959
Sutton Place,40.7583,-73.9646
Turtle Bay,40.7535,-73.9686
Tudor City,40.7474,-73.9723
Garment District,40.7520,-73.9882
Murry Hill,40.7499,-73.9795
Chelsea,40.7476,-74.0028
Flatiron District,40.7425,-73.9881
Gramercy,40.7395,-73.9781
Stuyvesant Town,40.7312,-73.9761
West Village,40.7355,-74.0078
Greenwich Village,40.7324,-73.9975
East Village,40.7265,-73.9815
SoHo,40.7249,-74.0038
NoHo,40.7276,-73.9935
Little Italy,40.7213,-73.9960
Lower East Side,40.7155,-73.9854
Tribeca,40.7187,-74.0075
Battery Park,40.7116,-74.0158
Financial District,40.7062,-74.0093
Chinatown,40.7162,-73.9975
