RegionName	City	State	Metro	CountyName	SizeRank	2019-09
Battery Park	New York	NY	New York-Newark-Jersey City	New York County	858	3804
Carnegie Hill	New York	NY	New York-Newark-Jersey City	New York County	935	3804
Central Park	New York	NY	New York-Newark-Jersey City	New York County	6375	3672
Chelsea	New York	NY	New York-Newark-Jersey City	New York County	203	3842
Chinatown	New York	NY	New York-Newark-Jersey City	New York County	1611	3568
East Harlem	New York	NY	New York-Newark-Jersey City	New York County	31	2930
East Village	New York	NY	New York-Newark-Jersey City	New York County	107	3668
Financial District	New York	NY	New York-Newark-Jersey City	New York County	400	3796
Flatiron District	New York	NY	New York-Newark-Jersey City	New York County	458	3741
Garment District	New York	NY	New York-Newark-Jersey City	New York County	3603	3666
Gramercy	New York	NY	New York-Newark-Jersey City	New York County	143	3670
Greenwich Village	New York	NY	New York-Newark-Jersey City	New York County	215	3767
Hamilton Heights	New York	NY	New York-Newark-Jersey City	New York County	189	2951
Harlem	New York	NY	New York-Newark-Jersey City	New York County	26	2452
Inwood	New York	NY	New York-Newark-Jersey City	New York County	246	2084
Little Italy	New York	NY	New York-Newark-Jersey City	New York County	1554	3677
Lower East Side	New York	NY	New York-Newark-Jersey City	New York County	67	3473
Manhattanville	New York	NY	New York-Newark-Jersey City	New York County	730	2660
Marble Hill	New York	NY	New York-Newark-Jersey City	New York County	1785	1818
Midtown	New York	NY	New York-Newark-Jersey City	New York County	803	3751
Morningside Heights	New York	NY	New York-Newark-Jersey City	New York County	267	3463
Murray Hill	New York	NY	New York-Newark-Jersey City	New York County	1558	3589
NoHo	New York	NY	New York-Newark-Jersey City	New York County	3217	4322
Roosevelt Island	New York	NY	New York-Newark-Jersey City	New York County	1285	3645
SoHo	New York	NY	New York-Newark-Jersey City	New York County	1476	3948
Sutton Place	New York	NY	New York-Newark-Jersey City	New York County	594	3726
Tribeca	New York	NY	New York-Newark-Jersey City	New York County	646	4781
Tudor City	New York	NY	New York-Newark-Jersey City	New York County	855	3542
Turtle Bay	New York	NY	New York-Newark-Jersey City	New York County	710	3540
Upper East Side	New York	NY	New York-Newark-Jersey City	New York County	6	3330
Upper West Side	New York	NY	New York-Newark-Jersey City	New York County	4	3672
Washington Heights	New York	NY	New York-Newark-Jersey City	New York County	12	2296
West Village	New York	NY	New York-Newark-Jersey City	New York County	545	3907
