Neighborhood,City,Median_Rent
Upper West Side,New York,4053.0
Upper East Side,New York,3941.0
Washington Heights,New York,2589.0
Harlem,New York,2890.0
East Harlem,New York,3095.0
Lower East Side,New York,3797.0
East Village,New York,3641.0
Gramercy,New York,3456.0
Hamilton Heights,New York,2641.0
Chelsea,New York,3728.0
Greenwich Village,New York,4374.0
Inwood,New York,2446.0
Morningside Heights,New York,3576.0
Financial District,New York,4178.0
Flatiron District,New York,4175.0
West Village,New York,4111.0
Brooklyn Heights,New York,2808.0
Sutton Place,New York,3708.0
Tribeca,New York,7380.0
Turtle Bay,New York,3382.0
Manhattanville,New York,2591.0
Midtown,New York,4377.0
Tudor City,New York,3045.0
Battery Park,New York,3799.0
Carnegie Hill,New York,4993.0
Roosevelt Island,New York,3986.0
Little Italy,New York,5373.0
Murray Hill,New York,3351.0
Chinatown,New York,3742.0
Marble Hill,New York,1860.0
NoHo,New York,5509.0
Garment District,New York,3556.0
Central Park,New York,4753.0
