Neighborhood,City,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Upper West Side,New York,4395.0,4300.0,4354.0,4531.0,4632.0,4606.0,4471.0,4288.0,4157.0,4058.0,3993.0,4166.0,4256.0,4214.0,4148.0,4109.0,4086.0,4071.0,4061.0,4030.0,4053.0
Upper East Side,New York,4606.0,4384.0,4401.0,4622.0,4823.0,4744.0,4546.0,4367.0,4236.0,4142.0,4051.0,4254.0,4361.0,4341.0,4240.0,4141.0,4038.0,3944.0,3905.0,3899.0,3941.0
Washington Heights,New York,3095.0,3019.0,2912.0,2789.0,2728.0,2625.0,2507.0,2485.0,2526.0,2594.0,2614.0,2596.0,2587.0,2554.0,2515.0,2495.0,2505.0,2527.0,2550.0,2572.0,2589.0
Harlem,New York,3341.0,3205.0,3112.0,3028.0,3077.0,3019.0,2885.0,2831.0,2819.0,2836.0,2819.0,2844.0,2856.0,2853.0,2846.0,2839.0,2838.0,2843.0,2861.0,2882.0,2890.0
East Harlem,New York,3315.0,3184.0,3131.0,3156.0,3267.0,3261.0,3160.0,3081.0,3016.0,3002.0,2966.0,3006.0,3027.0,3052.0,3087.0,3121.0,3139.0,3128.0,3117.0,3107.0,3095.0
Lower East Side,New York,4686.0,4616.0,4328.0,4178.0,4071.0,3946.0,3821.0,3683.0,3625.0,3602.0,3587.0,3722.0,3791.0,3807.0,3759.0,3714.0,3715.0,3728.0,3757.0,3771.0,3797.0
East Village,New York,4513.0,4371.0,4058.0,3888.0,3812.0,3698.0,3549.0,3384.0,3331.0,3329.0,3321.0,3461.0,3534.0,3550.0,3540.0,3557.0,3601.0,3634.0,3663.0,3657.0,3641.0
Gramercy,New York,4432.0,4224.0,3972.0,3837.0,3783.0,3701.0,3593.0,3496.0,3457.0,3430.0,3413.0,3496.0,3539.0,3545.0,3526.0,3501.0,3466.0,3437.0,3431.0,3437.0,3456.0
Outer Sunset,San Francisco,4094.0,4091.0,4095.0,4090.0,4092.0,4052.0,4051.0,4056.0,4053.0,4035.0,4027.0,4007.0,3998.0,3978.0,3959.0,3941.0,3946.0,3943.0,3967.0,4000.0,4030.0
Hamilton Heights,New York,3451.0,3279.0,3159.0,3018.0,3013.0,2934.0,2798.0,2786.0,2825.0,2850.0,2831.0,2807.0,2794.0,2765.0,2710.0,2700.0,2686.0,2674.0,2662.0,2652.0,2641.0
Chelsea,New York,4706.0,4424.0,4193.0,4082.0,4030.0,3888.0,3733.0,3562.0,3464.0,3407.0,3365.0,3497.0,3565.0,3594.0,3600.0,3597.0,3613.0,3623.0,3639.0,3677.0,3728.0
Greenwich Village,New York,5876.0,5555.0,5466.0,5539.0,5571.0,5494.0,5262.0,4963.0,4770.0,4605.0,4500.0,4697.0,4799.0,4745.0,4629.0,4547.0,4502.0,4466.0,4475.0,4442.0,4374.0
Inwood,New York,3066.0,2997.0,2848.0,2720.0,2637.0,2523.0,2393.0,2365.0,2406.0,2465.0,2441.0,2409.0,2393.0,2357.0,2329.0,2331.0,2354.0,2386.0,2406.0,2430.0,2446.0
Mission,San Francisco,4303.0,4295.0,4293.0,4293.0,4296.0,4290.0,4283.0,4275.0,4283.0,4306.0,4322.0,4338.0,4346.0,4335.0,4317.0,4316.0,4335.0,4352.0,4373.0,4394.0,4425.0
Morningside Heights,New York,3697.0,3598.0,3573.0,3630.0,3744.0,3727.0,3601.0,3464.0,3359.0,3261.0,3204.0,3351.0,3429.0,3497.0,3500.0,3488.0,3475.0,3505.0,3528.0,3559.0,3576.0
Outer Richmond,San Francisco,4174.0,4190.0,4203.0,4204.0,4187.0,4137.0,4138.0,4151.0,4168.0,4156.0,4138.0,4084.0,4057.0,4029.0,4010.0,4005.0,4022.0,4027.0,4047.0,4082.0,4129.0
Financial District,New York,4039.0,4031.0,3944.0,3883.0,3850.0,3845.0,3850.0,3841.0,3866.0,3881.0,3878.0,3917.0,3937.0,3947.0,3937.0,3962.0,3996.0,4031.0,4079.0,4123.0,4178.0
Flatiron District,New York,5279.0,5029.0,4847.0,4823.0,4831.0,4754.0,4587.0,4525.0,4475.0,4424.0,4383.0,4521.0,4593.0,4523.0,4421.0,4350.0,4310.0,4346.0,4380.0,4297.0,4175.0
Inner Richmond,San Francisco,4286.0,4299.0,4312.0,4307.0,4279.0,4261.0,4285.0,4320.0,4350.0,4350.0,4350.0,4307.0,4286.0,4256.0,4226.0,4210.0,4215.0,4215.0,4232.0,4265.0,4284.0
Parkside,San Francisco,3937.0,3927.0,3923.0,3919.0,3922.0,3893.0,3866.0,3847.0,3853.0,3860.0,3866.0,3867.0,3867.0,3815.0,3779.0,3759.0,3772.0,3787.0,3802.0,3829.0,3851.0
West Village,New York,5537.0,5230.0,4880.0,4755.0,4670.0,4528.0,4378.0,4209.0,4109.0,3999.0,3929.0,4075.0,4151.0,4119.0,4080.0,4047.0,4021.0,4012.0,4023.0,4062.0,4111.0
South of Market,San Francisco,3815.0,3839.0,3864.0,3902.0,3919.0,3925.0,3912.0,3903.0,3901.0,3914.0,3916.0,3933.0,3941.0,3942.0,3952.0,3974.0,3999.0,4018.0,4030.0,4056.0,4076.0
Brooklyn Heights,New York,3289.0,3175.0,3084.0,3010.0,2981.0,2953.0,2939.0,2949.0,2936.0,2933.0,2910.0,2878.0,2862.0,2848.0,2831.0,2811.0,2787.0,2774.0,2786.0,2788.0,2808.0
Sutton Place,New York,4521.0,4256.0,4023.0,4072.0,4086.0,4039.0,4000.0,3885.0,3794.0,3747.0,3682.0,3835.0,3915.0,3954.0,3932.0,3889.0,3838.0,3785.0,3769.0,3719.0,3708.0
Excelsior,San Francisco,3783.0,3799.0,3818.0,3812.0,3821.0,3794.0,3772.0,3748.0,3741.0,3765.0,3760.0,3783.0,3795.0,3785.0,3781.0,3775.0,3769.0,3774.0,3796.0,3845.0,3884.0
Pacific Heights,San Francisco,4768.0,4789.0,4811.0,4815.0,4786.0,4784.0,4792.0,4809.0,4841.0,4898.0,4942.0,4954.0,4960.0,4951.0,4949.0,4958.0,4986.0,5007.0,5023.0,5039.0,5055.0
Tenderloin,San Francisco,3176.0,3174.0,3142.0,3130.0,3157.0,3161.0,3148.0,3132.0,3139.0,3160.0,3180.0,3204.0,3216.0,3221.0,3232.0,3244.0,3262.0,3276.0,3288.0,3308.0,3323.0
Tribeca,New York,6792.0,6807.0,6927.0,7048.0,7136.0,7100.0,7017.0,6943.0,6822.0,6795.0,6794.0,6930.0,6999.0,7098.0,7110.0,7132.0,7205.0,7250.0,7300.0,7323.0,7380.0
Turtle Bay,New York,4100.0,3896.0,3633.0,3652.0,3627.0,3518.0,3403.0,3318.0,3273.0,3248.0,3232.0,3306.0,3344.0,3350.0,3346.0,3340.0,3364.0,3385.0,3407.0,3388.0,3382.0
Manhattanville,New York,2735.0,2668.0,2650.0,2629.0,2628.0,2692.0,2743.0,2730.0,2731.0,2743.0,2690.0,2643.0,2619.0,2586.0,2536.0,2501.0,2500.0,2519.0,2550.0,2573.0,2591.0
Midtown,New York,4467.0,4399.0,4416.0,4547.0,4588.0,4580.0,4589.0,4546.0,4399.0,4384.0,4405.0,4510.0,4564.0,4589.0,4555.0,4519.0,4440.0,4356.0,4291.0,4296.0,4377.0
Bernal Heights,San Francisco,4098.0,4093.0,4099.0,4127.0,4162.0,4183.0,4195.0,4200.0,4215.0,4243.0,4252.0,4242.0,4237.0,4223.0,4208.0,4207.0,4220.0,4231.0,4250.0,4273.0,4283.0
Tudor City,New York,4257.0,4038.0,3686.0,3449.0,3345.0,3228.0,3047.0,2935.0,2862.0,2902.0,2920.0,3007.0,3051.0,3046.0,3005.0,2977.0,2996.0,3023.0,3051.0,3062.0,3045.0
Battery Park,New York,3606.0,3613.0,3628.0,3603.0,3634.0,3642.0,3627.0,3665.0,3751.0,3797.0,3796.0,3774.0,3763.0,3756.0,3733.0,3731.0,3747.0,3775.0,3805.0,3808.0,3799.0
Carnegie Hill,New York,4522.0,4380.0,4512.0,4858.0,5248.0,,5737.0,5714.0,5579.0,5589.0,5467.0,5559.0,5606.0,5644.0,5585.0,5505.0,5361.0,5289.0,5155.0,5039.0,4993.0
Nob Hill,San Francisco,4642.0,4635.0,4638.0,4640.0,4635.0,4622.0,4609.0,4623.0,4636.0,4653.0,4664.0,4661.0,4659.0,4623.0,4592.0,4591.0,4600.0,4604.0,4611.0,4630.0,4645.0
Portola,San Francisco,3507.0,3503.0,3530.0,3537.0,3566.0,3579.0,3584.0,3572.0,3584.0,3603.0,3612.0,3649.0,3667.0,3655.0,3637.0,3632.0,3631.0,3636.0,3664.0,3719.0,3749.0
Western Addition,San Francisco,4591.0,4583.0,4597.0,4586.0,4567.0,4497.0,4459.0,4450.0,4446.0,4472.0,4483.0,4478.0,4476.0,4465.0,4453.0,4443.0,4435.0,4432.0,4431.0,4431.0,4442.0
Bayview,San Francisco,3738.0,3754.0,3797.0,3804.0,3823.0,3822.0,3806.0,3791.0,3790.0,3795.0,3811.0,3846.0,3864.0,3852.0,3821.0,3796.0,3778.0,3775.0,3785.0,3807.0,3814.0
Potrero Hill,San Francisco,4478.0,4474.0,4466.0,4441.0,4430.0,4443.0,4466.0,4480.0,4500.0,4530.0,4553.0,4566.0,4572.0,4569.0,4563.0,4577.0,4606.0,4628.0,4647.0,4659.0,4660.0
Noe Valley,San Francisco,4680.0,4675.0,4658.0,4624.0,4602.0,4593.0,4590.0,4587.0,4585.0,4603.0,4609.0,4616.0,4620.0,4609.0,4596.0,4584.0,4593.0,4599.0,4610.0,4633.0,4645.0
Russian Hill,San Francisco,5163.0,5190.0,5198.0,5160.0,5072.0,5042.0,5028.0,5049.0,5080.0,5135.0,5162.0,5169.0,5172.0,5145.0,5119.0,5105.0,5107.0,5103.0,5110.0,5144.0,5168.0
Inner Sunset,San Francisco,4212.0,4222.0,4224.0,4203.0,4164.0,4162.0,4185.0,4211.0,4222.0,4227.0,4228.0,4203.0,4191.0,4175.0,4153.0,4131.0,4138.0,4136.0,4148.0,4169.0,4187.0
Visitacion Valley,San Francisco,3865.0,3875.0,3882.0,3901.0,3919.0,3925.0,3909.0,3936.0,3945.0,3934.0,3948.0,3997.0,4021.0,4019.0,4001.0,3970.0,3953.0,3952.0,3936.0,3963.0,3961.0
Crocker Amazon,San Francisco,3638.0,3625.0,3585.0,3562.0,3592.0,3594.0,3591.0,3591.0,3608.0,3618.0,3630.0,3683.0,3710.0,3696.0,3687.0,3668.0,3656.0,3672.0,3695.0,3724.0,3754.0
Golden Gate Heights,San Francisco,4350.0,4366.0,4344.0,4326.0,4311.0,4359.0,4391.0,4398.0,4421.0,4432.0,4446.0,4420.0,4407.0,4388.0,4367.0,4355.0,4362.0,4357.0,4354.0,4375.0,4393.0
Marina,San Francisco,4650.0,4632.0,4622.0,4586.0,4545.0,4549.0,4563.0,4610.0,4668.0,4718.0,4737.0,4732.0,4729.0,4723.0,4710.0,4703.0,4699.0,4687.0,4672.0,4658.0,4654.0
Roosevelt Island,New York,4006.0,3929.0,3865.0,3903.0,3968.0,3975.0,3983.0,3912.0,3872.0,3896.0,3886.0,3897.0,3902.0,3886.0,3879.0,3882.0,3903.0,3940.0,3995.0,3989.0,3986.0
