Neighborhood,Latitude,Longitude
Anza Vista,37.7808,-122.4432
Alamo Square,37.7764,-122.4346
Sutro Heights,37.7782,-122.5083
Seacliff,37.7868,-122.489
Lake Street,37.7856,-122.4794
Presidio,37.7978,-122.4652
Presidio Terrace,37.7871,-122.4637
Outer Richmond,37.7777,-122.4927
Outer Sunset,37.7552,-122.4956
Lakeshore,37.7227,-122.4967
Inner Richmond,37.7799,-122.4688
Inner Sunset,37.7624,-122.468
Fishermans Wharf,37.8076,-122.4128
Aquatic Park / Ft. Mason,37.8059,-122.4255
Union Street,37.7988,-122.4309
Presidio Heights,37.7888,-122.4522
Laurel Heights / Jordan Park,37.7842,-122.4523
Northern Waterfront,37.8008,-122.4
Lone Mountain,37.778,-122.4527
Panhandle,37.774,-122.4457
Haight Ashbury,37.77,-122.447
Ashbury Heights,37.7628,-122.4489
Castro,37.7609,-122.435
Noe Valley,37.748,-122.432
Glen Park,37.736,-122.4361
Outer Mission,37.7113,-122.4511
Marina,37.8037,-122.4368
Cow Hollow,37.7974,-122.4424
Pacific Heights,37.793,-122.4347
Lower Pacific Heights,37.7858,-122.44
Japantown,37.7862,-122.4298
Polk Gulch,37.7941,-122.4214
Rincon Hill,37.7871,-122.3913
Western Addition,37.7809,-122.4335
Lower Haight,37.7728,-122.4312
Duboce Triangle,37.7681,-122.4322
Mint Hill,37.7713,-122.4256
Mission Dolores,37.7632,-122.4258
Hayes Valley,37.7765,-122.4268
North Beach,37.803,-122.4106
Russian Hill,37.8006,-122.4174
Chinatown,37.795,-122.4064
Nob Hill,37.7933,-122.4138
Lower Nob Hill,37.7883,-122.4163
Cathedral Hill,37.7843,-122.4243
Downtown,37.7881,-122.4062
Tenderloin,37.784,-122.4142
Civic Center,37.7787,-122.4183
South of Market,37.7785,-122.4056
Mission,37.7597,-122.4149
Bernal Heights,37.7409,-122.4139
Telegraph Hill,37.8026,-122.4055
Financial District,37.7927,-122.3974
South Beach,37.7819,-122.3898
Showplace Square,37.7688,-122.4029
Protrero Hill,37.7585,-122.3995
Mission Bay,37.7712,-122.3915
Dogpatch,37.7591,-122.3896
Bayview,37.733,-122.3873
Central Waterfront,37.7515,-122.387
Golden Gate Heights,37.7523,-122.4713
Buena Vista,37.7681,-122.4411
Corona Heights,37.7644,-122.4381
Cole Valley,37.7667,-122.4507
Parnassus Heights,37.761,-122.4565
Eureka Valley,37.7582,-122.4389
Dolores Heights,37.7552,-122.4261
Forest Knolls,37.7539,-122.4604
Clarendon Heights,37.7563,-122.4483
Upper Market,37.7515,-122.4429
Midtown Terrace,37.7506,-122.4517
Laguna Honda,37.7455,-122.457
Forest Hill,37.7478,-122.4635
West Portal,37.7399,-122.4695
Miraloma Park,37.7391,-122.4481
Sherwood Forest,37.7376,-122.4571
St. Francis Wood,37.7365,-122.466
Monterey Heights,37.7331,-122.4613
Balboa Terrace,37.7313,-122.4678
Mt. Davidson Manor,37.7282,-122.4632
Westwood Highlands,37.7326,-122.4565
Westwood Park,37.7279,-122.4567
Diamond Heights,37.7442,-122.4394
Sunnyside,37.7308,-122.4459
Fairmount,37.7393,-122.4291
Parkside,37.741,-122.4847
Merced Manor,37.7325,-122.48
Stonestown,37.7271,-122.4754
Parkmerced,37.718,-122.4793
Ingleside Terraces,37.7248,-122.4686
Ingleside,37.7201,-122.4609
Merced Heights,37.7142,-122.467
Oceanview,37.7149,-122.4569
Cayuga,37.7197,-122.443
Crocker Amazon,37.7111,-122.4365
Excelsior,37.7212,-122.4319
Mission Terrace,37.7278,-122.4353
University Mound,37.727,-122.4181
Sunnydale,37.7107,-122.4201
Visitacion Valley,37.7132,-122.4083
Portola,37.7263,-122.4071
Little Hollywood,37.7106,-122.3988
Candlestick Point,37.7125,-122.3867
Bret Harte,37.7205,-122.3925
Hunters Point,37.7248,-122.3705
India Basin,37.7386,-122.3779
Silver Terrace,37.7339,-122.3984
Produce Market,37.7445,-122.3993
Peralta Heights,37.7461,-122.4073
Holly Park,37.7371,-122.421
St. Marys Park,37.7336,-122.4253
Yerba Buena Island,37.8101,-122.366
Treasure Island,37.8244,-122.3706
