RegionName,City,State,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Upper West Side,New York,NY,2650.0,2595.0,2700.0,2800.0,2850.0,2750.0,2800.0,2825.0,2850.0,2882.5,2950.0,3000.0,2900.0,2947.5,2950.0,2975.0,2990.0,2900.0,2900.0,2927.5,2995.0,3000.0,3000.0,3000.0,3000.0,2990.0,3000.0,3000.0,2999.0,3000.0,3000.0,3000.0,3100.0,3095.0,3000.0,3042.5,3000.0,3000.0,3000.0,3000.0,3000.0,2950.0,3275.0,3295.0,3270.0,3250.0,3300.0,3250.0,3216.0,3250.0,3295.0,3300.0,3200.0,3200.0,3250.0,3295.0,3300.0,3300.0,3283.5,3250.0,3250.0,3239.5,3260.5,3250.0,3287.5,3232.5,3070.0,3200.0,3250.0,3250.0,3235.0,3185.0,3165.5,3200.0,3195.0,3185.0,3150.0,3175.0,3195.0,3200.0,3200.0,3195.0,3200.0,3215.5,3200.0,3200.0,3175.0,3195.0,3250.0,3226.0,3200.0,3200.0,3217.0,3245.0,3200.0,3275.0,3295.0,3251.0,3300.0,3350.0,3300.0,3300.0,3275.0,3300.0,3300.0
Upper East Side,New York,NY,2150.0,2200.0,2300.0,2450.0,2450.0,2400.0,2400.0,2450.0,2400.0,2460.0,2500.0,2500.0,2450.0,2495.0,2495.0,2495.0,2450.0,2495.0,2495.0,2495.0,2500.0,2550.0,2575.0,2550.0,2525.0,2500.0,2500.0,2500.0,2450.0,2450.0,2350.0,2450.0,2550.0,2575.0,2550.0,2550.0,2550.0,2595.0,2600.0,2595.0,2550.0,2550.0,2700.0,2695.0,2700.0,2700.0,2770.0,2795.0,2725.0,2800.0,2800.0,2788.5,2700.0,2725.0,2745.0,2795.0,2795.0,2750.0,2765.0,2775.0,2795.0,2800.0,2800.0,2799.0,2795.0,2700.0,2695.0,2700.0,2700.0,2700.0,2695.0,2700.0,2700.0,2721.0,2740.0,2700.0,2699.5,2700.0,2700.0,2695.0,2750.0,2695.0,2717.5,2700.0,2700.0,2695.0,2650.0,2600.0,2629.0,2695.0,2695.0,2695.0,2700.0,2750.0,2700.0,2750.0,2750.0,2775.0,2725.0,2725.0,2700.0,2750.0,2700.0,2695.0,2695.0
Washington Heights,New York,NY,1295.0,1275.0,1290.0,1300.0,1300.0,1300.0,1300.0,1325.0,1350.0,1325.0,1325.0,1300.0,1325.0,1325.0,1350.0,1350.0,1350.0,1350.0,1350.0,1380.0,1397.0,1400.0,1400.0,1400.0,1400.0,1400.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1495.0,1495.0,1490.0,1495.0,1495.0,1500.0,1500.0,1500.0,1500.0,1500.0,1501.0,1575.0,1595.0,1595.0,1575.0,1550.0,1595.0,1595.0,1600.0,1600.0,1625.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1625.0,1600.0,1595.0,1595.0,1600.0,1675.0,1675.0,1650.0,1650.0,1675.0,1700.0,1700.0,1675.0,1650.0,1675.0,1650.0,1650.0,1695.0,1675.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1725.0,1700.0,1695.0,1695.0,1700.0,1700.0,1737.0,1700.0,1750.0,1750.0,1750.0,1750.0,1795.0
Harlem,New York,NY,1550.0,1567.5,1450.0,1435.0,1445.0,1475.0,1495.0,1495.0,1595.0,1525.0,1550.0,1500.0,1550.0,1600.0,1615.0,1625.0,1620.0,1625.0,1642.5,1625.0,1625.0,1600.0,1600.0,1595.0,1590.0,1600.0,1600.0,1600.0,1650.0,1695.0,1600.0,1600.0,1665.0,1600.0,1650.0,1642.5,1625.0,1600.0,1600.0,1650.0,1700.0,1725.0,1750.0,1750.0,1795.0,1800.0,1800.0,1795.0,1837.5,1887.5,1918.5,1928.0,1900.0,1930.0,1928.0,1925.0,1895.0,1900.0,1897.5,1880.0,1900.0,1900.0,1950.0,1975.0,1900.0,1880.0,1901.0,1950.0,1900.0,1875.0,1900.0,1850.0,2000.0,1997.0,1975.0,1950.0,1950.0,1992.5,2000.0,1970.0,2000.0,1950.0,1940.0,1950.0,1952.5,1950.0,1950.0,2000.0,2100.0,2000.0,2050.0,2000.0,2000.0,1995.0,1995.0,1950.0,1999.0,1975.0,1973.0,2000.0,2165.0,2150.0,2100.0,2113.0,2150.0
East Harlem,New York,NY,2209.528846153846,1690.0,1750.0,1797.5,1950.0,1800.0,1797.5,1795.0,1645.0,1650.0,1787.5,1795.0,1795.0,1750.0,1800.0,1795.0,1850.0,1850.0,1900.0,1995.0,2050.0,2070.0,2100.0,2000.0,2038.0,2038.0,1965.0,1950.0,2038.0,2217.5,2050.0,2175.0,2150.0,2150.0,2121.0,2150.0,2250.0,2234.0,2195.0,2150.0,2075.0,2050.0,2300.0,2237.5,2100.0,2100.0,2300.0,2300.0,1995.0,2075.0,1900.0,2195.0,2325.0,2349.5,2295.0,2295.0,2300.0,2350.0,2300.0,2350.0,2300.0,2350.0,2405.0,2550.0,2600.0,2615.0,2500.0,2550.0,2645.0,2550.0,2550.0,2800.0,2499.0,2450.0,2495.0,2475.0,2399.5,2423.0,2400.0,2400.0,2397.0,2395.0,2450.0,2400.0,2350.0,2352.5,2333.0,2295.0,2300.0,2382.5,2400.0,2300.0,2350.0,2257.0,2295.0,2201.5,2250.0,2400.0,2450.0,2450.0,2450.0,2400.0,2500.0,2500.0,2500.0
Lower East Side,New York,NY,2513.221153846154,1997.5,2100.0,2200.0,2100.0,2200.0,2200.0,2200.0,2295.0,2300.0,2250.0,2275.0,2350.0,2350.0,2350.0,2300.0,2395.0,2400.0,2350.0,2350.0,2450.0,2495.0,2400.0,2395.0,2400.0,2400.0,2425.0,2450.0,2400.0,2450.0,2480.0,2475.0,2475.0,2495.0,2495.0,2500.0,2475.0,2450.0,2495.0,2500.0,2450.0,2525.0,2595.0,2550.0,2537.5,2525.0,2550.0,2600.0,2585.0,2595.0,2597.5,2525.0,2700.0,2695.0,2675.0,2650.0,2695.0,2600.0,2612.5,2625.0,2650.0,2612.5,2650.0,2650.0,2595.0,2597.5,2600.0,2650.0,2695.0,2600.0,2600.0,2499.5,2500.0,2600.0,2550.0,2575.0,2600.0,2600.0,2600.0,2575.0,2550.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2597.0,2550.0,2600.0,2650.0,2650.0,2650.0,2600.0,2600.0,2650.0,2600.0,2675.0,2725.0,2649.5,2695.0,2704.0,2725.0,2750.0,2800.0
East Village,New York,NY,2495.0,2595.0,2395.0,2400.0,2450.0,2400.0,2450.0,2450.0,2500.0,2595.0,2620.0,2695.0,2700.0,2695.0,2695.0,2700.0,2700.0,2695.0,2600.0,2600.0,2650.0,2700.0,2700.0,2600.0,2600.0,2600.0,2650.0,2650.0,2675.0,2682.5,2595.0,2600.0,2695.0,2650.0,2650.0,2650.0,2692.5,2695.0,2695.0,2695.0,2700.0,2700.0,2895.0,2850.0,2888.0,2795.0,2751.0,2850.0,2820.0,2800.0,2797.5,2795.0,2700.0,2795.0,2790.0,2800.0,2850.0,2895.0,2850.0,2800.0,2850.0,2870.0,2870.0,2895.0,2895.0,2895.0,2892.5,2850.0,2800.0,2800.0,2800.0,2800.0,2750.0,2895.0,2800.0,2850.0,2850.0,2800.0,2795.0,2800.0,2750.0,2725.0,2700.0,2795.0,2750.0,2800.0,2765.0,2797.0,2795.0,2795.0,2800.0,2747.0,2790.0,2750.0,2769.5,2760.0,2795.0,2850.0,2850.0,2850.0,2850.0,2850.0,2900.0,2905.5,2900.0
Gramercy,New York,NY,2995.0,2700.0,2795.0,2750.0,2800.0,2850.0,2900.0,2900.0,2900.0,2900.0,2995.0,2900.0,2901.0,2950.0,2988.5,2995.0,3000.0,3050.0,3100.0,3100.0,3100.0,3115.0,3177.0,3095.0,3095.0,3095.0,3065.0,3100.0,3152.0,3095.0,3095.0,3100.0,3100.0,3095.0,3100.0,3100.0,3095.0,3100.0,3100.0,3100.0,3175.0,3150.0,3445.0,3375.0,3350.0,3331.0,3331.0,3330.0,3300.0,3325.0,3314.0,3332.0,3314.0,3300.0,3314.0,3295.0,3314.0,3314.0,3314.0,3295.0,3295.0,3314.0,3314.0,3314.0,3324.0,3354.0,3314.0,3350.0,3300.0,3300.0,3295.0,3300.0,3295.0,3348.0,3335.0,3324.0,3300.0,3295.0,3298.0,3350.0,3327.5,3314.0,3269.0,3250.0,3295.0,3314.0,3314.0,3314.0,3350.0,3346.5,3300.0,3314.0,3314.0,3380.0,3325.0,3330.0,3334.5,3350.0,3380.0,3400.0,3400.0,3400.0,3452.0,3450.0,3400.0
Hamilton Heights,New York,NY,1679.504854368932,1679.504854368932,1395.0,1395.0,1375.0,1385.0,1400.0,1495.0,1537.5,1500.0,1500.0,1525.0,1450.0,1500.0,1497.5,1477.5,1500.0,1525.0,1525.0,1550.0,1500.0,1537.5,1550.0,1550.0,1537.5,1562.5,1525.0,1550.0,1550.0,1600.0,1600.0,1625.0,1600.0,1600.0,1600.0,1595.0,1550.0,1560.0,1595.0,1599.0,1600.0,1650.0,1695.0,1650.0,1700.0,1700.0,1700.0,1699.0,1690.0,1700.0,1655.0,1652.0,1690.0,1675.0,1695.0,1750.0,1750.0,1750.0,1750.0,1709.5,1700.0,1750.0,1750.0,1700.0,1725.0,1750.0,1700.0,1700.0,1700.0,1750.0,1700.0,1750.0,1799.0,1795.0,1770.0,1799.5,1770.0,1772.5,1850.0,1811.0,1755.0,1775.0,1750.0,1750.0,1750.0,1875.0,1850.0,1862.5,1900.0,1895.0,1875.0,1800.0,1850.0,1875.0,1795.0,1795.0,1850.0,1900.0,1800.0,1950.0,1900.0,1895.0,1900.0,1895.0,1925.0
Chelsea,New York,NY,2850.0,2700.0,3000.0,3000.0,3095.0,2975.0,2995.0,3000.0,3070.0,3150.0,3400.0,3350.0,3400.0,3332.5,3300.0,3300.0,3395.0,3322.5,3375.0,3350.0,3300.0,3300.0,3350.0,3325.0,3300.0,3295.0,3300.0,3400.0,3350.0,3300.0,3400.0,3400.0,3495.0,3495.0,3399.5,3400.0,3400.0,3337.0,3395.0,3360.0,3400.0,3450.0,3697.5,3730.0,3795.0,3750.0,3648.0,3780.0,3795.0,3750.0,3795.0,3845.0,3787.5,3700.0,3650.0,3765.0,3750.0,3795.0,3695.0,3695.0,3795.0,3725.0,3700.0,3650.0,3787.5,3797.5,3600.0,3700.0,3600.0,3595.0,3750.0,3610.0,3600.0,3725.5,3795.0,3838.0,3850.0,3800.0,3795.0,3795.0,3845.0,3805.0,3800.0,3750.0,3850.0,3825.0,3895.0,3800.0,3800.0,3810.0,3805.0,3900.0,3900.0,3895.0,3923.0,3870.0,3895.0,3900.0,3897.5,3904.5,3900.0,4035.0,3995.0,3981.5,3900.0
