RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Northeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,1195,1200,1085,1080,1080,1050,1045,999,985,1025,1065,1050,1075,1053,1050,1157,1175,1240,1100,1094,1150
Maryvale,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,695,795,742.5,725,721,710,700,730,689,693.5,699,692,692,699,724,724,705,715,724,734,735,710,705,724,755,767.5,795,795,867,860,825,840
Paradise,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.5,1062.5,942,996,925,970,910,885,828,725,740,850,940,946,915,971.5,950,961,1007,990,951,950,983,927,933,921,896,930,950,1017.5,1000
Upper West Side,New York,NY,New York-Newark-Jersey City,New York County,4,,,,,,,,2900,2800,2800,2800,2650,2595,2700,2800,2850,2750,2800,2825,2850,2882.5,2950,3000,2900,2947.5,2950,2975,2990,2900,2900,2927.5,2995,3000,3000,3000,3000,2990,3000,3000,2999,3000,3000,3000,3100,3095,3000,3042.5,3000,3000,3000,3000,3000,2950,3275,3295,3270,3250,3300,3250,3216,3250,3295,3300,3200,3200,3250,3295,3300,3300,3283.5,3250,3250,3239.5,3260.5,3250,3287.5,3232.5,3070,3200,3250,3250,3235,3185,3165.5,3200,3195,3185,3150,3175,3195,3200,3200,3195,3200,3215.5,3200,3200,3175,3195,3250,3226,3200,3200,3217,3245,3200,3275,3295,3251,3300,3350,3300,3300,3275,3300,3300
South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1400,1400,1450,1450,1498.5,1412,1400,1412,1412,1450,1495,1500,1499,1495,1512.5,1550,1500,1550,1500,1500,1522,1500,1525,1495
Upper East Side,New York,NY,New York-Newark-Jersey City,New York County,6,,,,2462.5,2500,2525,2650,2500,2375,2300,2197.5,2150,2200,2300,2450,2450,2400,2400,2450,2400,2460,2500,2500,2450,2495,2495,2495,2450,2495,2495,2495,2500,2550,2575,2550,2525,2500,2500,2500,2450,2450,2350,2450,2550,2575,2550,2550,2550,2595,2600,2595,2550,2550,2700,2695,2700,2700,2770,2795,2725,2800,2800,2788.5,2700,2725,2745,2795,2795,2750,2765,2775,2795,2800,2800,2799,2795,2700,2695,2700,2700,2700,2695,2700,2700,2721,2740,2700,2699.5,2700,2700,2695,2750,2695,2717.5,2700,2700,2695,2650,2600,2629,2695,2695,2695,2700,2750,2700,2750,2750,2775,2725,2725,2700,2750,2700,2695,2695
Spring Valley,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.5,999,950,999,1000,875,877.5,900,895,890,865,945,950,951.5,999,970.5,980,1000,1049,950,949.5,1049,995,995,1028,1105,1114,1149,1149,1137,1138,1125,1110.5,1106,1197,1150,1135,1099,1105,1135,1141,1150,1150,1130
Paradise Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,1056,1040,1066,1104,1081,1086.5,1172,1325,1275,1299,1175,1244,1238,1114,1101
Washington Heights,New York,NY,New York-Newark-Jersey City,New York County,9,,,,,,,,,,,1295,1295,1275,1290,1300,1300,1300,1300,1325,1350,1325,1325,1300,1325,1325,1350,1350,1350,1350,1350,1380,1397,1400,1400,1400,1400,1400,1450,1450,1450,1450,1450,1450,1495,1495,1490,1495,1495,1500,1500,1500,1500,1500,1501,1575,1595,1595,1575,1550,1595,1595,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1595,1595,1600,1675,1675,1650,1650,1675,1700,1700,1675,1650,1675,1650,1650,1695,1675,1700,1700,1700,1700,1700,1700,1725,1700,1695,1695,1700,1700,1737,1700,1750,1750,1750,1750,1795
Deer Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.5,700,724,724,735,729.5,725,688,772,741,755,782,821,880,870,875,805,835,841,848,808,846,918,812,892.5,845,899,801.5,856,804.5,880,821.5,805,819.5,817,825,815,845,845,825,831.5,841,802.5,815,878,822.5,845,879,887,885,908,940,925,945,971,970,968.5,970,999,997.5
