
Neighborhood	May 2019 One Bed Rent
Alamo Square	$3,600
Bayview	$2,550
Bernal Heights	$3,040
Buena Vista/Ashbury Heights	$3,600
Castro	$3,540
Civic Center	$3,380
Cole Valley	$3,000
Cow Hollow	$3,650
Downtown	$3,270
Financial District	$3,740
Glen Park	$2,650
Haight Ashbury	$2,995
Hayes Valley	$3,500
Inner Richmond	$2,600
Inner Sunset	$2,725
Lake Street	$3,048
Lakeshore	$2,720
Lone Mountain	$2,550
Lower Haight	$3,200
Lower Pacific Heights	$3,545
Marina	$3,650
Mission	$3,500
Mission Bay/Dogpatch	$3,700
Mission Dolores	$3,495
Nob Hill	$3,500
Noe Valley	$3,400
NOPA	$3,500
North Beach	$2,900
Outer Mission/Excelsior	$2,010
Outer Richmond	$2,595
Outer Sunset	$2,550
Pacific Heights	$3,695
Parkside	$2,250
Potrero Hill	$3,710
Presidio Heights/Laurel Heights	$3,100
Russian Hill	$3,480
SOMA	$3,800
South Beach	$3,900
Telegraph Hill	$3,430
Tenderloin	$2,400
West of Twin Peaks	$2,985
Western Addition	$3,300
