Neighborhood,City,Median_Rent
Upper West Side,New York,4053.0
Upper East Side,New York,3941.0
Washington Heights,New York,2589.0
Harlem,New York,2890.0
East Harlem,New York,3095.0
Lower East Side,New York,3797.0
East Village,New York,3641.0
Gramercy,New York,3456.0
Outer Sunset,San Francisco,4030.0
Hamilton Heights,New York,2641.0
Chelsea,New York,3728.0
Greenwich Village,New York,4374.0
Inwood,New York,2446.0
Mission,San Francisco,4425.0
Morningside Heights,New York,3576.0
Outer Richmond,San Francisco,4129.0
Financial District,New York,4178.0
Flatiron District,New York,4175.0
Inner Richmond,San Francisco,4284.0
Parkside,San Francisco,3851.0
West Village,New York,4111.0
South of Market,San Francisco,4076.0
Brooklyn Heights,New York,2808.0
Sutton Place,New York,3708.0
Excelsior,San Francisco,3884.0
Pacific Heights,San Francisco,5055.0
Tenderloin,San Francisco,3323.0
Tribeca,New York,7380.0
Turtle Bay,New York,3382.0
Manhattanville,New York,2591.0
Midtown,New York,4377.0
Bernal Heights,San Francisco,4283.0
Tudor City,New York,3045.0
Battery Park,New York,3799.0
Carnegie Hill,New York,4993.0
Nob Hill,San Francisco,4645.0
Portola,San Francisco,3749.0
Western Addition,San Francisco,4442.0
Bayview,San Francisco,3814.0
Potrero Hill,San Francisco,4660.0
Noe Valley,San Francisco,4645.0
Russian Hill,San Francisco,5168.0
Inner Sunset,San Francisco,4187.0
Visitacion Valley,San Francisco,3961.0
Crocker Amazon,San Francisco,3754.0
Golden Gate Heights,San Francisco,4393.0
Marina,San Francisco,4654.0
Roosevelt Island,New York,3986.0
Ingleside,San Francisco,3794.0
Mission Terrace,San Francisco,3648.0
Parkmerced,San Francisco,4536.0
Silver Terrace,San Francisco,3996.0
Little Italy,New York,5373.0
Murray Hill,New York,3351.0
Chinatown,New York,3742.0
Oceanview,San Francisco,4133.0
North Beach,San Francisco,4650.0
Lone Mountain,San Francisco,4499.0
Marble Hill,New York,1860.0
Chinatown,San Francisco,4605.0
Sunnyside,San Francisco,3918.0
Outer Mission,San Francisco,3721.0
Panhandle,San Francisco,4432.0
Buena Vista,San Francisco,4798.0
Ingleside Heights,San Francisco,3463.0
Mission Bay,San Francisco,4241.0
Lower Pacific Heights,San Francisco,4675.0
South Beach,San Francisco,4556.0
NoHo,New York,5509.0
Garment District,New York,3556.0
Haight,San Francisco,4106.0
Duboce Triangle,San Francisco,4441.0
Presidio Heights,San Francisco,5839.0
Laurel Heights,San Francisco,4750.0
Hayes Valley,San Francisco,4401.0
Upper Market,San Francisco,4539.0
Miraloma Park,San Francisco,4610.0
Lakeshore,San Francisco,4276.0
Hunters Point,San Francisco,3783.0
Cow Hollow,San Francisco,5563.0
Glen Park,San Francisco,4256.0
Alamo Square,San Francisco,4341.0
Telegraph Hill,San Francisco,4526.0
Financial District,San Francisco,4245.0
Lake,San Francisco,4345.0
Downtown,San Francisco,3692.0
Diamond Heights,San Francisco,3756.0
Stonestown,San Francisco,
Clarendon Heights,San Francisco,4873.0
Anza Vista,San Francisco,4165.0
Westwood Park,San Francisco,4159.0
Sherwood Forest,San Francisco,
Ingleside Terrace,San Francisco,4284.0
Corona Heights,San Francisco,4683.0
Midtown Terrace,San Francisco,4749.0
Central Park,New York,4753.0
Little Hollywood,San Francisco,3929.0
Forest Knolls,San Francisco,4666.0
Seacliff,San Francisco,4911.0
Presidio,San Francisco,3784.0
Golden Gate Park,San Francisco,3091.0
