,Neighborhood,City,Zillow_Median,Rent_Cafe_Avg,Zumper_Median
0,Outer Sunset,San Francisco,4030.0,3679.0,2550.0
1,Mission,San Francisco,4425.0,,3500.0
2,Outer Richmond,San Francisco,4129.0,,2595.0
3,Inner Richmond,San Francisco,4284.0,3922.0,2600.0
4,Parkside,San Francisco,3851.0,,2250.0
5,South of Market,San Francisco,4076.0,4011.0,
6,Excelsior,San Francisco,3884.0,3942.0,
7,Pacific Heights,San Francisco,5055.0,3087.0,3695.0
8,Tenderloin,San Francisco,3323.0,2979.0,2400.0
9,Bernal Heights,San Francisco,4283.0,3074.0,3040.0
10,Nob Hill,San Francisco,4645.0,3034.0,3500.0
11,Portola,San Francisco,3749.0,4303.0,
12,Western Addition,San Francisco,4442.0,3055.0,3300.0
13,Bayview,San Francisco,3814.0,3257.0,2550.0
14,Potrero Hill,San Francisco,4660.0,4011.0,3710.0
15,Noe Valley,San Francisco,4645.0,3349.0,3400.0
16,Russian Hill,San Francisco,5168.0,2993.0,3480.0
17,Inner Sunset,San Francisco,4187.0,3679.0,2725.0
18,Visitacion Valley,San Francisco,3961.0,4303.0,
19,Crocker Amazon,San Francisco,3754.0,4082.0,
20,Golden Gate Heights,San Francisco,4393.0,3679.0,
21,Marina,San Francisco,4654.0,2959.0,3650.0
22,Ingleside,San Francisco,3794.0,3942.0,
23,Mission Terrace,San Francisco,3648.0,3942.0,
24,Parkmerced,San Francisco,4536.0,,
25,Silver Terrace,San Francisco,3996.0,3257.0,
26,Oceanview,San Francisco,4133.0,3942.0,
27,North Beach,San Francisco,4650.0,3321.0,2900.0
28,Lone Mountain,San Francisco,4499.0,3758.0,2550.0
29,Chinatown,San Francisco,4605.0,,
30,Sunnyside,San Francisco,3918.0,3672.0,
31,Outer Mission,San Francisco,3721.0,3942.0,
32,Panhandle,San Francisco,4432.0,,
33,Buena Vista,San Francisco,4798.0,3498.0,
34,Ingleside Heights,San Francisco,3463.0,3444.0,
35,Mission Bay,San Francisco,4241.0,4599.0,
36,Lower Pacific Heights,San Francisco,4675.0,3074.0,3545.0
37,South Beach,San Francisco,4556.0,4388.0,3900.0
38,Haight,San Francisco,4106.0,,
39,Duboce Triangle,San Francisco,4441.0,4464.0,
40,Presidio Heights,San Francisco,5839.0,3922.0,
41,Laurel Heights,San Francisco,4750.0,,
42,Hayes Valley,San Francisco,4401.0,3042.0,3500.0
43,Upper Market,San Francisco,4539.0,,
44,Miraloma Park,San Francisco,4610.0,,
45,Lakeshore,San Francisco,4276.0,,2720.0
46,Hunters Point,San Francisco,3783.0,3257.0,
47,Cow Hollow,San Francisco,5563.0,3385.0,3650.0
48,Glen Park,San Francisco,4256.0,3522.0,2650.0
49,Alamo Square,San Francisco,4341.0,3403.0,3600.0
50,Telegraph Hill,San Francisco,4526.0,3321.0,3430.0
51,Financial District,San Francisco,4245.0,,3740.0
52,Lake,San Francisco,4345.0,,
53,Downtown,San Francisco,3692.0,,3270.0
54,Diamond Heights,San Francisco,3756.0,3522.0,
55,Stonestown,San Francisco,,3444.0,
56,Clarendon Heights,San Francisco,4873.0,4036.0,
57,Anza Vista,San Francisco,4165.0,3448.0,
58,Westwood Park,San Francisco,4159.0,3942.0,
59,Sherwood Forest,San Francisco,,,
60,Ingleside Terrace,San Francisco,4284.0,,
61,Corona Heights,San Francisco,4683.0,4464.0,
62,Midtown Terrace,San Francisco,4749.0,3522.0,
63,Little Hollywood,San Francisco,3929.0,4303.0,
64,Forest Knolls,San Francisco,4666.0,3515.0,
65,Seacliff,San Francisco,4911.0,,
66,Presidio,San Francisco,3784.0,4976.0,
67,Golden Gate Park,San Francisco,3091.0,3758.0,
68,Treasure Island,,,2616.0,
69,Van Ness - Civic Center,,,2979.0,
70,Downtown District 8 - North East,,,3006.0,
71,Candlestick Point,,,3257.0,
72,Bayview Heights,,,3257.0,
73,North Panhandle,,,3403.0,
74,Pine Lake Park,,,3444.0,
75,Merced Manor,,,3444.0,
76,Merced Heights,,,3444.0,
77,Lakeside,,,3444.0,
78,Lake Shore,,,3444.0,
79,Parnassus Heights,,,3498.0,
80,Haight Ashbury,,,3498.0,2995.0
81,Cole Valley,,,3498.0,3000.0
82,Ashbury Heights,,,3498.0,
83,Financial District - Barbary Coast,,,3536.0,
84,North Waterfront,,,3640.0,
85,Central Sunset,,,3679.0,
86,Inner Mission,,,3746.0,
87,Mission Dolores,,,3771.0,3495.0
88,Twin Peaks,,,3862.0,
89,Lake Street,,,3922.0,3048.0
90,Jordan Park - Laurel Heights,,,3922.0,
91,Central Richmond,,,3922.0,
92,Mount Davidson Manor,,,3942.0,
93,John McLaren Park,,,4082.0,
94,Yerba Buena,,,4183.0,
95,Central Waterfront - Dogpatch,,,4280.0,
96,Eureka Valley - Dolores Heights,,,4464.0,
97,Buena Vista/Ashbury Heights,,,,3600.0
98,Castro,,,,3540.0
99,Civic Center,,,,3380.0
100,Lower Haight,,,,3200.0
101,Mission Bay/Dogpatch,,,,3700.0
102,NOPA,,,,3500.0
103,Outer Mission/Excelsior,,,,2010.0
104,Presidio Heights/Laurel Heights,,,,3100.0
105,SOMA,,,,3800.0
106,West of Twin Peaks,,,,2985.0
