Neighborhood	Average Rent
Treasure Island	2616
Marina	2959
Van Ness - Civic Center	2979
Tenderloin	2979
Russian Hill	2993
Downtown District 8 - North East	3006
Nob Hill	3034
Hayes Valley	3042
Western Addition	3055
Lower Pacific Heights	3074
Bernal Heights	3074
Pacific Heights	3087
Silver Terrace	3257
Hunters Point	3257
Candlestick Point	3257
Bayview Heights	3257
Bayview	3257
Telegraph Hill	3321
North Beach	3321
Noe Valley	3349
Cow Hollow	3385
North Panhandle	3403
Alamo Square	3403
Stonestown	3444
Pine Lake Park	3444
Merced Manor	3444
Merced Heights	3444
Lakeside	3444
Lake Shore	3444
Ingleside Heights	3444
Anza Vista	3448
Parnassus Heights	3498
Haight Ashbury	3498
Cole Valley	3498
Buena Vista	3498
Ashbury Heights	3498
Forest Knolls	3515
Midtown Terrace	3522
Glen Park	3522
Diamond Heights	3522
Financial District - Barbary Coast	3536
North Waterfront	3640
Sunnyside	3672
Outer Sunset	3679
Inner Sunset	3679
Golden Gate Heights	3679
Central Sunset	3679
Inner Mission	3746
Lone Mountain	3758
Golden Gate Park	3758
Mission Dolores	3771
Twin Peaks	3862
Presidio Heights	3922
Lake Street	3922
Jordan Park - Laurel Heights	3922
Inner Richmond	3922
Central Richmond	3922
Westwood Park	3942
Outer Mission	3942
Oceanview	3942
Mount Davidson Manor	3942
Mission Terrace	3942
Ingleside	3942
Excelsior	3942
South of Market	4011
Potrero Hill	4011
Clarendon Heights	4036
John McLaren Park	4082
Crocker Amazon	4082
Yerba Buena	4183
Central Waterfront - Dogpatch	4280
Visitacion Valley	4303
Portola	4303
Little Hollywood	4303
South Beach	4388
Eureka Valley - Dolores Heights	4464
Duboce Triangle	4464
Corona Heights	4464
Mission Bay	4599
Presidio	4976
