
Neighborhood	May 2019 One Bed Rent
Alamo Square	3600
Bayview	2550
Bernal Heights	3040
Buena Vista/Ashbury Heights	3600
Castro	3540
Civic Center	3380
Cole Valley	3000
Cow Hollow	3650
Downtown	3270
Financial District	3740
Glen Park	2650
Haight Ashbury	2995
Hayes Valley	3500
Inner Richmond	2600
Inner Sunset	2725
Lake Street	3048
Lakeshore	2720
Lone Mountain	2550
Lower Haight	3200
Lower Pacific Heights	3545
Marina	3650
Mission	3500
Mission Bay/Dogpatch	3700
Mission Dolores	3495
Nob Hill	3500
Noe Valley	3400
NOPA	3500
North Beach	2900
Outer Mission/Excelsior	2010
Outer Richmond	2595
Outer Sunset	2550
Pacific Heights	3695
Parkside	2250
Potrero Hill	3710
Presidio Heights/Laurel Heights	3100
Russian Hill	3480
SOMA	3800
South Beach	3900
Telegraph Hill	3430
Tenderloin	2400
West of Twin Peaks	2985
Western Addition	3300
