RegionName,City,State,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Mission,San Francisco,CA,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3432.439393939394,3100.0,3247.5,3099.0,3200.0,3195.0,3200.0,3200.0,3210.0,3525.0,3500.0,3500.0,3395.0,3250.0,3388.0,3250.0,3595.0,3562.5,3610.0,3390.0,3250.0,3700.0,3690.0,3444.0,3468.0,3451.0,3573.0,3511.0,3500.0,3800.0,3552.0,3752.0,3556.5,3606.0
South of Market,San Francisco,CA,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,3523.1827956989246,2950.0,2805.0,2835.0,3075.5,3168.0,3000.0,3102.5,3230.0,3200.0,3100.0,2987.0,3014.0,2960.0,3135.0,3232.0,2976.0,3292.5,3250.0,3400.0,3240.0,3165.0,3200.0,3200.0,3310.0,3384.0,3420.0,3438.0,3525.0,3410.0,3443.5,3455.0,3465.0,3469.0,3597.5,3650.0,3620.0,3677.5,3800.0,3650.0,3650.0,3800.0,3850.0,3850.0,3767.5,3740.0,3640.0,3602.5,3572.0,3675.0,3743.0,3700.0,3600.0,3615.5,3697.5,3669.0,3643.5,3550.0,3540.0,3450.0,3400.0,3422.5,3586.0,3657.5,3650.0,3645.0,3703.0,3756.5,3583.5,3589.5,3600.0,3550.0,3500.0,3625.5,3750.0,3765.0,3683.0,3655.0,3614.0,3679.0,3630.0,3726.0,3750.0,3800.0,3685.0,3878.0,3900.0,3900.0,3921.0,3950.0,3985.0,4011.5,3970.0,3947.0
Pacific Heights,San Francisco,CA,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,3472.4698795180725,2800.0,2987.0,2834.0,2834.0,2824.0,3024.0,3009.5,3195.0,3300.0,3300.0,3299.0,3200.0,2997.5,3425.0,3450.0,3187.0,3195.0,3225.0,3672.0,3500.0,3499.0,3600.0,3550.0,3500.0,3500.0,3625.0,3650.0,3675.0,3700.0,3825.0,3775.0,3762.5,3947.5,3850.0,3750.0,3725.0,3750.0,3772.5,3700.0,3725.0,3750.0,3650.0,3650.0,3650.0,3575.0,3300.0,3650.0,3350.0,3400.0,3400.0,3495.0,3325.0,3395.0,3300.0,3295.0,3424.5,3462.5,3437.5,3495.0,3495.0,3297.0,3439.0,3500.0,3500.0,3595.0,3695.0,3739.0,3695.0,3672.5,3504.5,3495.0,3465.0,3495.0,3495.0,3500.0,3500.0,3497.0,3500.0,3695.0,3599.5,3500.0,3600.0,3597.5
Tenderloin,San Francisco,CA,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2722.5,2595.0,2595.0,2564.0,2995.0,2762.0,2750.0,2692.0,2624.0,2599.0,2722.0,2699.0,2695.0,2706.5,2799.0,2826.5,2804.5,2854.0
Nob Hill,San Francisco,CA,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2938.59375,2800.0,2700.0,2895.0,2900.0,2995.0,2925.0,2900.0,2845.0,2850.0,2795.0,2795.0,2825.0,2800.0,2795.0,2725.0,2800.0,2772.5,2695.0,3175.0,3350.0,3047.5,2900.0,2995.0,3000.0,3197.5,2995.0,3045.0,3200.0,3000.0,3095.0,3000.0,3222.5
Western Addition,San Francisco,CA,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3227.0789473684213,3200.0,3195.0,3200.0,3078.0,3171.0,3249.5,3300.0,3175.0,3315.0,3022.5,3298.0,3405.5,3264.5,3230.0,3200.0,3200.0,3270.0,3278.5,3262.0
Russian Hill,San Francisco,CA,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3486.2741935483873,3250.0,3250.0,3300.0,3425.0,3499.5,3199.0,3279.0,3350.0,3362.0,3399.0,3495.0,3450.0,3450.0,3499.0,3397.5,3372.5,3597.5,3449.5,3474.0,3595.0,3500.0,3500.0,3599.0,3495.0,3695.0,3647.5,3695.0,3772.5,3584.5,3795.0,3697.5
Marina,San Francisco,CA,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3354.5151515151515,3200.0,3295.0,3000.0,3162.0,3304.0,3295.0,3550.0,3349.0,3295.0,3224.0,3199.0,3297.5,3300.0,3274.0,3262.0,3300.0,3399.5,3400.0,3584.0,3497.0,3485.0,3400.0,3297.5,3295.0,3500.0,3500.0,3450.0,3500.0,3449.0,3475.0,3436.5,3300.0,3424.0
Mission Bay,San Francisco,CA,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3854.0151515151515,3480.0,3694.0,3667.5,3664.0,3686.0,3786.5,3776.5,3622.0,3694.0,3619.0,3560.0,3672.5,3674.0,3778.0,3835.0,3878.5,3939.0,3966.0,3812.0,3963.0,3963.0,3957.0,3924.0,3894.5,3924.0,4002.5,3949.0,4100.0,4185.0,4146.0,4090.0,4130.0,4150.0
South Beach,San Francisco,CA,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3725.8840579710145,3650.0,3595.0,3595.0,3537.5,3682.0,3564.0,3458.0,3722.5,3900.0,3900.0,3965.0,4000.0,3989.0,3995.0,4250.0,3950.0,3807.5,3884.5,4107.5,4000.0,3997.5,4152.5,4055.0,4197.5,4200.0,4150.0,4100.0,4010.0,4018.0,3829.5,3537.5,4000.0,3798.0,3722.5,3752.5,3700.0,3780.0,3762.5,3800.0,3499.5,3500.0,3600.0,3400.0,3669.0,3592.0,3675.0,3797.5,3576.0,3600.0,3650.0,3450.0,3475.0,3498.0,3375.0,3481.0,3432.0,3400.0,3403.0,3512.5,3525.0,3491.0,3342.0,3525.0,3495.0,3582.0,3657.5,3525.0,3472.5,3770.0
